,organ,tissue_type,cell_type,cell_type_ontology_id,disease,sex,ethnicity,development_stage,count
381,thymus,thymus,innate lymphoid cell,CL:0001065,normal,male,unknown,human adult stage,2594
382,thymus,thymus,macrophage,CL:0000235,normal,male;female,unknown,human adult stage,461
383,thymus,thymus,mast cell,CL:0000097,normal,female,unknown,human adult stage,11
384,thymus,thymus,mature NK T cell,CL:0000814,normal,male;female,unknown,human adult stage,274
385,thymus,thymus,medullary thymic epithelial cell,CL:0002365,normal,male;female,unknown,human adult stage,166
386,thymus,thymus,memory B cell,CL:0000787,normal,female,unknown,human adult stage,1845
387,thymus,thymus,mesothelial cell,CL:0000077,normal,female,unknown,human adult stage,12
388,thymus,thymus,monocyte,CL:0000576,normal,male;female,unknown,human adult stage,434
389,thymus,thymus,myeloid dendritic cell,CL:0000782,normal,male,unknown,human adult stage,3
390,thymus,thymus,naive B cell,CL:0000788,normal,female,unknown,human adult stage,874
391,thymus,thymus,naive regulatory T cell,CL:0002677,normal,male,unknown,human adult stage,761
392,thymus,thymus,plasma cell,CL:0000786,normal,male;female,unknown,human adult stage,1554
393,thymus,thymus,thymocyte,CL:0000893,normal,female,unknown,human adult stage,553
394,thymus,thymus,vascular associated smooth muscle cell,CL:0000359,normal,male;female,unknown,human adult stage,2130
395,thymus,thymus,vein endothelial cell,CL:0002543,normal,male;female,unknown,human adult stage,2104
396,tongue,tongue,Schwann cell,CL:0002573,normal,male,unknown,human adult stage,10
397,tongue,tongue,basal cell,CL:0000646,normal,male;female,unknown,human adult stage,6281
398,tongue,tongue,capillary endothelial cell,CL:0002144,normal,male;female,unknown,human adult stage,101
399,tongue,tongue,endothelial cell of artery,CL:1000413,normal,male;female,unknown,human adult stage,40
400,tongue,tongue,endothelial cell of lymphatic vessel,CL:0002138,normal,male;female,unknown,human adult stage,44
401,tongue,tongue,epithelial cell,CL:0000066,normal,female,unknown,human adult stage,2114
402,tongue,tongue,fibroblast,CL:0000057,normal,male;female,unknown,human adult stage,251
403,tongue,tongue,keratinocyte,CL:0000312,normal,male;female,unknown,human adult stage,3667
404,tongue,tongue,leukocyte,CL:0000738,normal,male;female,unknown,human adult stage,2109
405,tongue,tongue,pericyte cell,CL:0000669,normal,male;female,unknown,human adult stage,117
406,tongue,tongue,tongue muscle cell,CL:0002673,normal,male;female,unknown,human adult stage,60
407,tongue,tongue,vein endothelial cell,CL:0002543,normal,male;female,unknown,human adult stage,226
408,respiratory system,trachea,B cell,CL:0000236,normal,male,unknown,human adult stage,462
409,respiratory system,trachea,"CD4-positive, alpha-beta T cell",CL:0000624,normal,male,unknown,human adult stage,65
410,respiratory system,trachea,"CD8-positive, alpha-beta T cell",CL:0000625,normal,male,unknown,human adult stage,464
411,respiratory system,trachea,T cell,CL:0000084,normal,male,unknown,human adult stage,131
412,respiratory system,trachea,basal cell,CL:0000646,normal,male;female,unknown,human adult stage,4198
413,respiratory system,trachea,ciliated cell,CL:0000064,normal,male;female,unknown,human adult stage,317
414,respiratory system,trachea,connective tissue cell,CL:0002320,normal,female,unknown,human adult stage,249
415,respiratory system,trachea,"double-positive, alpha-beta thymocyte",CL:0000809,normal,male,unknown,human adult stage,6
416,respiratory system,trachea,endothelial cell,CL:0000115,normal,male;female,unknown,human adult stage,257
417,respiratory system,trachea,fibroblast,CL:0000057,normal,male,unknown,human adult stage,1239
418,respiratory system,trachea,goblet cell,CL:0000160,normal,female,unknown,human adult stage,84
419,respiratory system,trachea,ionocyte,CL:0005006,normal,male,unknown,human adult stage,13
420,respiratory system,trachea,macrophage,CL:0000235,normal,male;female,unknown,human adult stage,541
421,respiratory system,trachea,mast cell,CL:0000097,normal,male,unknown,human adult stage,69
422,respiratory system,trachea,mucus secreting cell,CL:0000319,normal,male,unknown,human adult stage,64
423,respiratory system,trachea,neutrophil,CL:0000775,normal,male,unknown,human adult stage,758
424,respiratory system,trachea,plasma cell,CL:0000786,normal,male;female,unknown,human adult stage,138
425,respiratory system,trachea,secretory cell,CL:0000151,normal,male;female,unknown,human adult stage,253
426,respiratory system,trachea,serous cell of epithelium of trachea,CL:1000330,normal,male,unknown,human adult stage,41
427,respiratory system,trachea,smooth muscle cell,CL:0000192,normal,male,unknown,human adult stage,96
428,respiratory system,trachea,tracheal goblet cell,CL:1000329,normal,male,unknown,human adult stage,77
429,uterus,uterus,B cell,CL:0000236,normal,female,unknown,human adult stage,10
430,uterus,uterus,T cell,CL:0000084,normal,female,unknown,human adult stage,546
431,uterus,uterus,ciliated epithelial cell,CL:0000067,normal,female,unknown,human adult stage,31
432,uterus,uterus,endothelial cell,CL:0000115,normal,female,unknown,human adult stage,2077
433,uterus,uterus,endothelial cell of lymphatic vessel,CL:0002138,normal,female,unknown,human adult stage,86
434,uterus,uterus,epithelial cell,CL:0000066,normal,female,unknown,human adult stage,68
435,uterus,uterus,epithelial cell of uterus,CL:0002149,normal,female,unknown,human adult stage,194
436,uterus,uterus,fibroblast,CL:0000057,normal,female,unknown,human adult stage,3014
437,uterus,uterus,leukocyte,CL:0000738,normal,female,unknown,human adult stage,17
438,uterus,uterus,macrophage,CL:0000235,normal,female,unknown,human adult stage,344
439,uterus,uterus,mature NK T cell,CL:0000814,normal,female,unknown,human adult stage,53
440,uterus,uterus,myometrial cell,CL:0002366,normal,female,unknown,human adult stage,199
441,uterus,uterus,pericyte cell,CL:0000669,normal,female,unknown,human adult stage,95
442,uterus,uterus,vascular associated smooth muscle cell,CL:0000359,normal,female,unknown,human adult stage,390
443,vasculature,vasculature,B cell,CL:0000236,normal,male;female,unknown,human adult stage,21
444,vasculature,vasculature,T cell,CL:0000084,normal,male;female,unknown,human adult stage,476
445,vasculature,vasculature,capillary endothelial cell,CL:0002144,normal,male,unknown,human adult stage,1034
446,vasculature,vasculature,endothelial cell,CL:0000115,normal,male;female,unknown,human adult stage,1564
447,vasculature,vasculature,endothelial cell of artery,CL:1000413,normal,male,unknown,human adult stage,138
448,vasculature,vasculature,endothelial cell of lymphatic vessel,CL:0002138,normal,male,unknown,human adult stage,44
449,vasculature,vasculature,epithelial cell,CL:0000066,normal,female,unknown,human adult stage,26
450,vasculature,vasculature,erythrocyte,CL:0000232,normal,male;female,unknown,human adult stage,64
451,vasculature,vasculature,fibroblast,CL:0000057,normal,male;female,unknown,human adult stage,5867
452,vasculature,vasculature,macrophage,CL:0000235,normal,male;female,unknown,human adult stage,3301
453,vasculature,vasculature,mast cell,CL:0000097,normal,male;female,unknown,human adult stage,105
454,vasculature,vasculature,mature NK T cell,CL:0000814,normal,male;female,unknown,human adult stage,121
455,vasculature,vasculature,pericyte cell,CL:0000669,normal,male;female,unknown,human adult stage,1193
456,vasculature,vasculature,plasma cell,CL:0000786,normal,male;female,unknown,human adult stage,42
457,vasculature,vasculature,smooth muscle cell,CL:0000192,normal,male;female,unknown,human adult stage,3075
